"","Donor","Species","Date","User","slice_type","Slice_ID","cell_name","nwb_file","pxp_file","Brain_Region","Depth_from_pia","LIMS_depth","LIMS_20x","LIMS_63x","LIMS_layer","sample_id","Experiment","protocols","Fast_blockers","puff_drug","wash_drug","bath_drug","drug","Drug_concentration","DIV","Virus","DPI","Reporter_positive","Donor_date","class_Corr","class_Tree","subclass_Tree","subclass_Corr","cluster_Tree","cluster_Corr","score.Corr","score.Tree","marker_sum_norm","percent_reads_aligned_to_introns","Genes.Detected","quality_score","cluster","cluster_score","Cortical_area","predicted_subclass","subclass_Tree.classifier"
"1197","Q20.26.007","M.mulatta",2020-06-11,"Brian","NHPacute","Q20.26.007.13.21","Q20.26.007.13.21.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.007/BK/Q20.26.007.13.21.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.007/BK/Q20.26.007.13.21.01.pxp","V1",593,675,"http://lims2/drawing_tool?image_series=1038100790","defer","L3","PQS4_200611_301_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-11,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.65072345048489,0.75,0.866384056575108,42.9446434088612,6966,0.633312864364878,"L2/3_IT_1","0.75","OCx",NA,NA
"1198","Q20.26.007","M.mulatta",2020-06-11,"Brian","NHPacute","Q20.26.007.13.21","Q20.26.007.13.21.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.007/BK/Q20.26.007.13.21.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.007/BK/Q20.26.007.13.21.02.pxp","V1",1700,1521,"http://lims2/drawing_tool?image_series=1038100790","defer","L5","PQS4_200611_302_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-11,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.74724823067071,1,0.480273484648621,53.5508300348056,5527,0.407968194351508,"Pvalb_4","1.00","OCx",NA,NA
"1201","Q20.26.007","M.mulatta",2020-06-11,"Cristina","NHPacute","Q20.26.007.11.05","Q20.26.007.11.05.01.01",NA,NA,"Temporal",NA,623,"http://lims2/drawing_tool?image_series=1038100871","defer","L3","PQS4_200611_229_A01","Multi-Patch-Seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-11,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.445020636409235,0.97,0.524940473712382,8.7087136482966,3539,0.300946388036588,"L2/3_IT_1","0.97","TCx",NA,NA
"1204","Q20.26.007","M.mulatta",2020-06-11,"Cristina","NHPacute","Q20.26.007.11.05","Q20.26.007.11.05.02.04",NA,NA,"Temporal",NA,623,"http://lims2/drawing_tool?image_series=1038100871","defer","L3","PQS4_200611_232_A01","Multi-Patch-Seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-11,"inh","inh","Pvalb","Pvalb","Pvalb_3","Pvalb_3",0.242025797750148,0.98,0.162875389370804,8.39676455059008,496,0.119648957009385,"Pvalb_3","0.98","TCx",NA,NA
"1209","Q20.26.008","M.nemestrina",2020-06-17,"Cristina","NHPacute","Q20.26.008.11.06","Q20.26.008.11.06.01.07",NA,NA,"Temporal",NA,1251,NA,"defer","L5","PQS4_200617_226_A01","Multi-Patch-Seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-17,"inh","inh","Sncg","Sncg","Sncg_2","Sncg_2",0.206801496875235,0.37,0.142103276020786,9.11489446301574,899,0.0625339545880129,"n22","0.90","TCx",NA,NA
"1210","Q20.26.008","M.nemestrina",2020-06-17,"Cristina","NHPacute","Q20.26.008.11.06","Q20.26.008.11.06.02.04",NA,NA,"Temporal",NA,1251,NA,"defer","L5","PQS4_200617_227_A01","Multi-Patch-Seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-06-17,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.598043816362731,0.63,0.898123017107412,29.9309392321763,4847,0.397746954264291,"n16","1.00","TCx",NA,NA
"1224","Q20.26.012","M.nemestrina",2020-07-13,"Brian","NHPacute","Q20.26.012.11.12","Q20.26.012.11.12.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.012/Q20.26.012.11.12.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.012/Q20.26.012.11.12.01.pxp","Temporal",NA,NA,"http://lims2/drawing_tool?image_series=1043799010","defer","NaN","PQS4_200713_301_A01","neuromodulation",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-07-13,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.7750525623043,1,1.07552220974418,48.5247454218641,7212,0.634370278588833,"L5_IT_2","1.00","TCx","L5_IT","L5_IT"
"1240","Q20.26.014","M.nemestrina",2020-07-21,"Brian","NHPacute","Q20.26.014.1A.05","Q20.26.014.1A.05.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.05.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.05.04.pxp","M1",NA,2217,"http://lims2/drawing_tool?image_series=1043801040","defer","L6","PQS4_200721_302_A01","Patch-seq","extended FI",NA,NA,NA,NA,NA,"NULL","0","CN1633",NA,"SYFP",2020-07-21,"inh","inh","Pvalb","Pvalb","Pvalb_2","Pvalb_2",0.396667676098013,0.96,0.569774747906405,26.5544516931679,2592,0.283543158682757,"Pvalb_2","0.96","MCx",NA,NA
"1245","Q20.26.015","M.nemestrina",2020-07-29,"Brian","NHPacute","Q20.26.015.1A.02","Q20.26.015.1A.02.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.1A.02.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.1A.02.01.pxp","Temporal",650,545,"http://lims2/drawing_tool?image_series=1043803156","http://lims2/siv?sub_image=1143677071","L3","PQS4_200729_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-07-29,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.781478893681283,0.99,1.03193174156019,56.533224428992,9381,0.619804401065499,"L2/3_IT_3","0.99","TCx","L2/3_IT","L2/3_IT"
"1256","Q20.26.018","M.nemestrina",2020-08-26,"Brian","NHPacute","Q20.26.018.11.01","Q20.26.018.11.01.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.018/Q20.26.018.11.01.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.018/Q20.26.018.11.01.02.pxp","Temporal",950,758,"http://lims2/drawing_tool?image_series=1050637208","none","L3","PQS4_200826_302_A01","Patch-seq","multiple Vm",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-08-26,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.766209248046915,1,0.947360058809212,37.130318926882,8136,0.641554495345141,"L2/3_IT_1","1.00","TCx",NA,NA
"1258","Q20.26.018","M.nemestrina",2020-08-26,"Brian","NHPacute","Q20.26.018.11.11","Q20.26.018.11.11.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.018/Q20.26.018.11.11.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.018/Q20.26.018.11.11.02.pxp","Temporal",660,561,"http://lims2/drawing_tool?image_series=1050637357","http://lims2/siv?sub_image=1102633423","L3","PQS4_200826_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-08-26,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.747393556074011,1,1.04369474535097,54.1831478250487,7492,0.699270708552887,"L2/3_IT_1","1.00","TCx","L2/3_IT","L2/3_IT"
"1262","Q20.26.020","M.nemestrina",2020-08-31,"Brian","NHPacute","Q20.26.020.11.01.02","Q20.26.020.11.01.02.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.020/Q20.26.020.11.01.02.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.020/Q20.26.020.11.01.02.01.pxp","Temporal",2000,998,"http://lims2/drawing_tool?image_series=1050637357","none","L5","PQS4_200831_302_A01","Patch-seq","channels, multiple Vm",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-08-31,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.555404365258709,0.96,0.700332174683458,18.0131450712805,4558,0.325705709919947,"L5_IT_2","0.96","TCx",NA,NA
