"","Donor","Species","Date","User","slice_type","Slice_ID","cell_name","nwb_file","pxp_file","Brain_Region","Depth_from_pia","LIMS_depth","LIMS_20x","LIMS_63x","LIMS_layer","sample_id","Experiment","protocols","Fast_blockers","puff_drug","wash_drug","bath_drug","drug","Drug_concentration","DIV","Virus","DPI","Reporter_positive","Donor_date","class_Corr","class_Tree","subclass_Tree","subclass_Corr","cluster_Tree","cluster_Corr","score.Corr","score.Tree","marker_sum_norm","percent_reads_aligned_to_introns","Genes.Detected","quality_score","cluster","cluster_score","Cortical_area","predicted_subclass","subclass_Tree.classifier"
"6","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.01.pxp","Temporal",1942,NA,"http://lims2/drawing_tool?image_series=914341972","defer","NaN","PXS4_190717_301_A01","Patch-seq","extended FI  noise",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.669535313736532,1,0.987328934118796,46.5793206319645,11254,0.671081143112655,"L2/3_IT_1","1.00","TCx","L2/3_IT","L2/3_IT"
"8","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.03.pxp","Temporal",1888,NA,"http://lims2/drawing_tool?image_series=914341972","defer","NaN","PXS4_190717_303_A01","Patch-seq","tri blip",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.663266812983157,0.47,0.926729191716127,44.9858106204604,9184,0.583833915289537,"n13","1.00","TCx","L5_IT","L5_IT"
"9","Q19.26.005","M.nemestrina",2019-07-17,"Brian","NHPculture","Q19.26.005.1A.06","Q19.26.005.1A.06.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2019/Q19.26.005/Q19.26.005.1A.06.04.pxp","Temporal",1648,1341,"http://lims2/drawing_tool?image_series=914341972","defer","L5","PXS4_190717_304_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","7",NA,NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_1","L5_IT_1",0.746130441459013,1,0.9027226671243,24.1932977609904,8367,0.628258361442041,"L5_IT_1","1.00","TCx","L5_IT","L5_IT"
"20","Q19.26.009","M.nemestrina",2019-09-25,"ScottO","NHPculture","Q19.26.009.2A.04","Q19.26.009.2A.04.003",NA,NA,"M1",NA,NA,NA,NA,NA,"PXS4_190925_752_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","NaN","uninfected",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.619855475242266,0.88,0.721506661982529,49.8711166031665,9283,0.511787798678501,"L2/3_IT_1","0.88","MCx",NA,NA
"26","Q20.26.002","M.mulatta",2020-02-06,"Brian","NHPculture","Q20.26.002.1A.14","Q20.26.002.1A.14.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.01.pxp","M1",1209,985,"http://lims2/drawing_tool?image_series=1008132681","http://lims2/siv?sub_image=1138647708","L3","PQS4_200207_301_A01","Patch-seq","extended FI",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.542047246848388,1,0.910831067329322,45.3556725254057,7897,0.422538489669099,"L2/3_IT_1","1.00","MCx",NA,NA
"27","Q20.26.002","M.mulatta",2020-02-06,"Brian","NHPculture","Q20.26.002.1A.14","Q20.26.002.1A.14.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.002/BK/Q20.26.002.11.06/Q20.26.002.1A.14.02.pxp","M1",525,416,"http://lims2/drawing_tool?image_series=1008132681","http://lims2/siv?sub_image=1138647708","L2","PQS4_200207_302_A01","Patch-seq","multiple Vm  extended FI  channels",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.757697538265631,0.98,0.999411497267197,49.8321227876109,6757,0.589280569197814,"L2/3_IT_3","0.98","MCx",NA,NA
"67","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.01.pxp","M1",900,476,"http://lims2/drawing_tool?image_series=1043801615","defer","L3","PQS4_200722_301_A01","Patch-seq","noise  channels",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_3","Pvalb_3",0.391278189986175,0.57,0.649911822946993,33.8518131140425,4646,0.33415869127648,"n48","0.89","MCx",NA,NA
"68","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.02.pxp","M1",900,632,"http://lims2/drawing_tool?image_series=1043801615","candidate","L3","PQS4_200722_302_A01","Patch-seq","noise  channels  extended FI",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.752181172718816,1,0.47867182123064,38.824812255544,8495,0.377992580641698,"Pvalb_4","1.00","MCx",NA,NA
"70","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.04.pxp","M1",250,260,"http://lims2/drawing_tool?image_series=1043801615","none","L2","PQS4_200722_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.634692788848492,0.97,0.511286583676244,39.5845864657107,4622,0.325082172194753,"Pvalb_4","0.97","MCx",NA,NA
"72","Q20.26.014","M.nemestrina",2020-07-22,"Brian","NHPculture","Q20.26.014.1A.10","Q20.26.014.1A.10.06","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.06-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.014/Q20.26.014.1A.10.06.pxp","M1",1500,1403,"http://lims2/drawing_tool?image_series=1043801615","defer","L5","PQS4_200722_304_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","1","CN1633",NA,"SYFP",NA,"inh","inh","Lamp5","Lamp5","Lamp5_1","Lamp5_1",0.294320264274526,0.29,0.39928789044446,23.7652182510379,1231,0.254560812611489,"n22","0.74","MCx",NA,NA
"91","Q20.26.015","M.nemestrina",2020-08-03,"Brian","NHPculture","Q20.26.015.5A.06","Q20.26.015.5A.06.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.06.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.06.01.pxp","dLPFC",1800,1418,"http://lims2/drawing_tool?image_series=1043804353","defer","L5","PQS4_200803_301_A01",NA,"multiple Vm  noise  tri-blip",NA,NA,NA,NA,NA,"NULL","5","CN1633",NA,NA,NA,"exc","exc","L5_ET","L5_ET","L5_ET_2","L5_ET_2",0.707988046743527,0.76,0.926900901069969,42.7338830261933,8172,0.638739520507341,"L5_ET_2","0.76","FCx",NA,NA
"97","Q20.26.015","M.nemestrina",2020-08-04,"Brian","NHPculture","Q20.26.015.5A.04","Q20.26.015.5A.04.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.04.02.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.04.02.pxp","dLPFC",2000,1788,"http://lims2/drawing_tool?image_series=1043804504","defer","L5","PQS4_200804_302_A01",NA,NA,NA,NA,NA,NA,NA,"NULL","6","CN2315 CN1243",NA,NA,NA,"exc","exc","L6_CT","L6_CT","L6_CT_2","L6_CT_2",0.637258001757322,1,0.672712059915735,23.2252581149301,9574,0.380135953999748,"L6_CT_2","1.00","FCx",NA,NA
"100","Q20.26.015","M.nemestrina",2020-08-04,"Brian","NHPculture","Q20.26.015.5A.04","Q20.26.015.5A.04.05","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.04.05.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.015/Q20.26.015.5A.04.05.pxp","dLPFC",1800,NA,"http://lims2/drawing_tool?image_series=1043804504","defer","NaN","PQS4_200804_304_A01","neuromodulation",NA,NA,NA,NA,NA,NA,"NULL","6","CN2315 CN1243",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.430345137315309,0.64,0.719576090388065,6.96231243089535,6488,0.508657637959872,"n14","0.89","FCx",NA,NA
"102","Q20.26.016","M.nemestrina",2020-08-18,"Cristina","NHPculture","Q20.26.016.4A.04","Q20.26.016.4A.04.01.02",NA,NA,"M1",NA,1833,NA,"defer","L5","PQS4_200818_225_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","NULL",NA,NA,NA,NA,"inh","inh","Pvalb","Pvalb","Pvalb_2","Pvalb_2",0.606256762989769,1,0.512495505155326,35.8912701779634,3245,0.366262933074718,"Pvalb_2","1.00","MCx",NA,NA
"122","Q20.26.026","M.nemestrina",2020-11-16,"Brian","NHPculture","Q20.26.026.2A.06","Q20.26.026.2A.06.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.01.pxp","Temporal",2000,1820,"http://lims2/drawing_tool?image_series=1067552558","http://lims2/siv?sub_image=1141575375","L5","PQS4_201116_301_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","6","CN2292 CN1495",NA,NA,NA,"exc","exc","L6b","L6b","L6b_2","L6b_2",0.775688419971515,1,0.975336087479517,31.9839860997258,9071,0.682326007560429,"L6b_2","1.00","TCx","L6b","L6b"
"123","Q20.26.026","M.nemestrina",2020-11-16,"Brian","NHPculture","Q20.26.026.2A.06","Q20.26.026.2A.06.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.02.pxp","Temporal",2000,1673,"http://lims2/drawing_tool?image_series=1067552558","check slide","L5","PQS4_201116_302_A01","neuromodulation",NA,NA,"5HT[100uM]",NA,NA,"5-HT","100 uM","6","CN2292 CN1495",NA,NA,NA,"exc","exc","L5/6_NP","L5/6_NP","L5/6_NP_1","L5/6_NP_1",0.644082853472391,1,0.881346636128478,34.3943463309257,8229,0.627222943357762,"L5/6_NP_1","1.00","TCx","L5/6_NP","L5/6_NP"
"125","Q20.26.026","M.nemestrina",2020-11-16,"Brian","NHPculture","Q20.26.026.2A.06","Q20.26.026.2A.06.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.06.04.pxp","Temporal",1800,1491,"http://lims2/drawing_tool?image_series=1067552558","none","L5","PQS4_201116_303_A01","neuromodulation",NA,NA,"5HT[100uM]",NA,NA,NA,"100 uM","6","CN2292 CN1495",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.643351914135353,0.85,0.985677246462678,45.2037291341212,9396,0.673817230766211,"L2/3_IT_3","0.85","TCx","L2/3_IT","L2/3_IT"
"128","Q20.26.026","M.nemestrina",2020-11-17,"Brian","NHPculture","Q20.26.026.2A.05","Q20.26.026.2A.05.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.05.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.2A.05.03.pxp","Temporal",NA,1434,"http://lims2/drawing_tool?image_series=1067553079","defer","L5","PQS4_201117_303_A01","neuromodulation",NA,NA,"5HT[100uM]",NA,NA,"5HT","NULL","7","CN1955 CN1827",NA,NA,NA,"exc","exc","L5_ET","L5_ET","L5_ET_1","L5_ET_1",0.737066905521418,0.98,0.876429229848216,44.3817176481718,8686,0.624491603694079,"L5_ET_1","0.98","TCx","L5_ET","L5_ET"
"137","Q21.26.002","M.nemestrina",2021-01-25,"Brian","NHPculture","Q21.26.002.1A.25","Q21.26.002.1A.25.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.002/Q21.26.002.1A.25.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.002/Q21.26.002.1A.25.03.pxp","Temporal",500,447,"http://lims2/drawing_tool?image_series=1082718313","none","L3","PXS4_210125_303_A01","neuromodulation","multiple Vm",NA,"5HT[100uM]",NA,NA,NA,"100uM","5","CN1390",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.661305761903868,0.99,0.868285484169829,39.213680335922,7344,0.573813301048177,"L2/3_IT_3","0.99","TCx",NA,NA
"147","Q21.26.006","M.nemestrina",2021-02-23,"Brian","NHPculture","Q21.26.006.1A.20","Q21.26.006.1A.20.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.006/Q21.26.006.1A.20.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.006/Q21.26.006.1A.20.01.pxp","Temporal",401,466,"http://lims2/drawing_tool?image_series=1089017406","none","L3","PCS4_210223_301_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","7","CN2787",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.379259384278927,0.18,0.69162991746806,21.8861823128843,3258,0.385814627975707,"n1","1","TCx",NA,NA
"152","Q21.26.011","M.nemestrina",2021-05-07,"Brian","NHPculture","Q21.26.011.1A.01","Q21.26.011.1A.01.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.02.pxp","SFG",NA,366,"http://lims2/drawing_tool?image_series=1105102837","defer","L3","PCS4_210507_301_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.658389622653225,0.48,0.782215793004091,25.6838702287473,9947,0.502945534559709,"n1","1","MCx",NA,NA
"153","Q21.26.011","M.nemestrina",2021-05-07,"Brian","NHPculture","Q21.26.011.1A.01","Q21.26.011.1A.01.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.03.pxp","SFG",NA,377,"http://lims2/drawing_tool?image_series=1105102837","http://lims2/siv?sub_image=1141306770","L3","PCS4_210507_302_A01","Patch-seq","long spike train",NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"inh","inh","Chandelier","Chandelier","Chandelier_1","Chandelier_1",0.689802004142008,0.99,0.578980838967232,42.3295761296261,5291,0.387477855741133,"Chandelier_1","0.99","MCx",NA,NA
"155","Q21.26.011","M.nemestrina",2021-05-07,"Brian","NHPculture","Q21.26.011.1A.01","Q21.26.011.1A.01.05","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.05-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.011/Q21.26.011.1A.01.05.pxp","SFG",NA,337,"http://lims2/drawing_tool?image_series=1105102837","none","L3","PCS4_210507_303_A01","Patch-seq","long spike train",NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"inh","inh","Chandelier","Chandelier","Chandelier_1","Chandelier_1",0.69503355914072,0.63,0.466542111456149,50.9577154162865,3902,0.422498970924478,"n21","1.00","MCx",NA,NA
"156","Q21.26.011","M.nemestrina",2021-05-07,"Cristina","NHPculture","Q21.26.011.1A.02","Q21.26.011.1A.02.01",NA,NA,"SFG",NA,506,"http://lims2/drawing_tool?image_series=1105102932","defer","L3","PCS4_210507_225_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.628077861105233,0.55,0.451294105216612,18.4370937644229,10265,0.198695468377105,"n47","1.00","MCx",NA,NA
"160","Q21.26.011","M.nemestrina",2021-05-07,"Cristina","NHPculture","Q21.26.011.1A.02","Q21.26.011.1A.02.05",NA,NA,"SFG",NA,522,"http://lims2/drawing_tool?image_series=1105102932","defer","L3","PCS4_210507_226_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"inh","inh","Chandelier","Chandelier","Chandelier_1","Chandelier_1",0.70543658307399,1,0.568962522223071,38.117430865291,5764,0.445171809447825,"Chandelier_1","1.00","MCx",NA,NA
"161","Q21.26.011","M.nemestrina",2021-05-07,"Cristina","NHPculture","Q21.26.011.1A.03","Q21.26.011.1A.03.01",NA,NA,"SFG",NA,477,"http://lims2/drawing_tool?image_series=1105103048","defer","L3","PCS4_210507_227_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","2","CN2320",NA,"SYFP",NA,"inh","inh","Chandelier","Chandelier","Chandelier_1","Chandelier_1",0.546161956338952,0.99,0.789441952059937,35.4535192524935,5050,0.337759212141709,"Chandelier_1","0.99","MCx",NA,NA
"164","Q21.26.014","M.nemestrina",2021-05-18,"Brian","NHPculture","Q21.26.014.1A.21","Q21.26.014.1A.21.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.01.pxp","ITG",1676,1378,"http://lims2/drawing_tool?image_series=1106774263","defer","L5","PCS4_210518_301_A01","Patch-seq","tri blip  extended FI  noise",NA,NA,NA,NA,NA,"NULL","5","CN1633",NA,NA,NA,"exc","exc","L5_ET","L5_ET","L5_ET_2","L5_ET_2",0.767587895243557,0.8,0.864115275056618,33.4029275353568,10377,0.635533831849008,"L5_ET_2","0.80","TCx","L5_ET","L5_ET"
"165","Q21.26.014","M.nemestrina",2021-05-18,"Brian","NHPculture","Q21.26.014.1A.21","Q21.26.014.1A.21.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.02.pxp","ITG",1534,1357,"http://lims2/drawing_tool?image_series=1106774263","http://lims2/siv?sub_image=1128968856","L5","PCS4_210518_302_A01","neuromodulation",NA,NA,"Control",NA,NA,NA,"0","5","CN1633",NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.681155557525447,1,0.917782422173202,45.4563684543461,6329,0.56876367638831,"L5_IT_2","1.00","TCx","L5_IT","L5_IT"
"166","Q21.26.014","M.nemestrina",2021-05-18,"Brian","NHPculture","Q21.26.014.1A.21","Q21.26.014.1A.21.03","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.03-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.03.pxp","ITG",1600,1293,"http://lims2/drawing_tool?image_series=1106774263","http://lims2/siv?sub_image=1128990000","L5","PCS4_210518_303_A01","neuromodulation",NA,NA,"5HT[100uM]",NA,NA,NA,"100","5","CN1633",NA,NA,NA,"exc","exc","L5_ET","L5_ET","L5_ET_1","L5_ET_1",0.826671824259339,1,0.946457048242923,56.6909576010594,8126,0.666787744303833,"L5_ET_1","1.00","TCx","L5_ET","L5_ET"
"167","Q21.26.014","M.nemestrina",2021-05-18,"Brian","NHPculture","Q21.26.014.1A.21","Q21.26.014.1A.21.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.014/Q21.26.014.1A.21.04.pxp","ITG",1583,1327,"http://lims2/drawing_tool?image_series=1106774263","defer","L5","PCS4_210518_304_A01","neuromodulation",NA,NA,"5HT[100uM]",NA,NA,NA,"100","5","CN1633",NA,NA,NA,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.700942412953518,1,0.900870015209204,30.3768881166479,7699,0.574460856929009,"L5_IT_2","1.00","TCx","L5_IT","L5_IT"
"169","Q21.26.015","M.nemestrina",2021-05-19,"Brian","NHPculture","Q21.26.015.1A.29","Q21.26.015.1A.29.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.01.pxp","ITG",824,608,"http://lims2/drawing_tool?image_series=1106774538","defer","L3","PCS4_210519_301_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","1","uninfected",NA,NA,NA,"inh","inh","Pvalb","Pvalb","Pvalb_4","Pvalb_4",0.675721094666253,1,0.707841442725461,43.6960297400667,7925,0.497723436393735,"Pvalb_4","1.00","TCx","Pvalb","Pvalb"
"170","Q21.26.015","M.nemestrina",2021-05-19,"Brian","NHPculture","Q21.26.015.1A.29","Q21.26.015.1A.29.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.02.pxp","ITG",601,483,"http://lims2/drawing_tool?image_series=1106774538","candidate","L3","PCS4_210519_302_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","1","uninfected",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.675501356951801,1,1.0137318342988,56.6427171060423,5004,0.541807514539471,"L2/3_IT_3","1.00","TCx","L2/3_IT","L2/3_IT"
"172","Q21.26.015","M.nemestrina",2021-05-19,"Brian","NHPculture","Q21.26.015.1A.29","Q21.26.015.1A.29.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.04.pxp","ITG",2105,1716,"http://lims2/drawing_tool?image_series=1106774538","defer","L5","PCS4_210519_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","1","uninfected",NA,NA,NA,"exc","exc","L5/6_NP","L5/6_NP","L5/6_NP_1","L5/6_NP_1",0.667302088121608,1,0.903299284466711,50.3126885604522,6110,0.534802993015712,"L5/6_NP_1","1.00","TCx","L5/6_NP","L5/6_NP"
"173","Q21.26.015","M.nemestrina",2021-05-19,"Brian","NHPculture","Q21.26.015.1A.29","Q21.26.015.1A.29.05","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.05-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.015/Q21.26.015.1A.29.05.pxp","ITG",1077,860,"http://lims2/drawing_tool?image_series=1106774538","candidate","L3","PCS4_210519_304_A01","Patch-seq","channels",NA,NA,NA,NA,NA,"NULL","1","uninfected",NA,NA,NA,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.692771442069742,1,0.977918552595084,47.389547708346,7380,0.587990901247695,"L2/3_IT_1","1.00","TCx","L2/3_IT","L2/3_IT"
