,cell_name,peak_ratio_chirp,peak_freq,db_freq,low_freq_impedance_chirp,high_freq_impedance_chirp,peak_impedance_chirp,phase_peak_chirp,phase_low,phase_high,sync_freq_chirp,total_inductive_phase_chirp,v_baseline_chirp,input_resistance,input_resistance_ss,SSRn,sag_ratio,sag,Vm_VI,tau,Donor,Species,Specie,slice_type,Preparation,sample_id,Brain_Region,Overall Brain Region,drug,Drug_concentration,Virus,Reporter_positive,Delivery_method,DIV,ROI_major,score.Corr_label,cluster_Corr,subclass_Corr_label,patched_cell_container_label,HCN1,HCN2,HCN3,HCN4,PEX5L,Genes.Detected_label,percent_reads_aligned_to_introns_label,marker_sum_norm_label,quality_score_label,pia_depth,pia_distance,layer
80,QN22.26.020.4A.01.03,1.213307162,2.095390142,6.385950908,98.972051,21.422857,120.083498,-0.19301906,0.071014046,-1.138733006,1.097585312,0.002319588,-64.50407607,96.3273301,64.27040203,64.27040203,1.498782131,0.351072192,-63.67113495,21.468851,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,P7S4_220607_304_A01,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,0.670941757,L2/3 IT_1,L2/3 IT,P7S4_220607_304_A01,471.5568032,0,0,0,24.96477193,7644,39.33986617,0.905722691,0.629829439,479,479,L3
81,QN22.26.020.4A.01.04,1.032512368,1.347574366,3.443801158,740.459623,74.691949,764.533719,-0.326981838,0.039506397,-1.296788996,0.399281294,0.001971771,-61.13893969,299.4458466,235.6065216,235.6065216,1.270957376,0.176844046,-59.94158173,22.832709,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,P7S4_220607_305_A01,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,0.730283483,L2/3 IT_3,L2/3 IT,P7S4_220607_305_A01,165.6587094,2.400850862,0,0,415.347199,5915,37.85202825,0.839375213,0.527104445,184,184,L2
82,QN22.26.020.11.05.01,1.07975088,2.850849553,8.252459233,118.904467,38.398705,128.387202,-0.251522297,-0.005216091,-0.819714359,0.400119236,0,-59.52041806,119.8860076,111.4052551,111.4052551,1.076125246,0.095037878,-59.55815506,13.936718,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,PKS4_220607_225_A01,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,0.765200241,L2/3 IT_1,L2/3 IT,PKS4_220607_225_A01,190.0761026,0,0,0,784.3646766,7557,48.39682831,0.932740831,0.629619171,320,320,L3
83,QN22.26.020.11.05.02,1.067262129,2.500745222,8.55254866,92.918376,27.439691,99.168263,-0.182244625,-0.035515554,-1.02394209,0.400119236,0,-55.39998934,83.44849148,71.87469482,71.87469482,1.16102742,0.107692495,-56.56204224,13.509314,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,,,,,,,,,,,,,,244,244,L3
84,QN22.26.020.11.05.03,1.23960983,3.901162546,12.45371121,88.117253,37.043064,109.231013,-0.189493431,-0.01239299,-0.98798783,1.750521655,0.001371124,-63.45372003,96.80711901,79.60762643,79.60762643,1.216053327,0.168920666,-64.45825958,10.954134,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,,,,,,,,,,,,,,280,280,L3
85,QN22.26.020.11.05.04,1.164309751,2.500745222,11.35338331,88.838043,33.409051,103.435,-0.086533598,0.024957595,-0.980308895,1.600476942,0.0020293,-73.67830823,85.69098808,70.62756719,70.62756719,1.213279623,0.164904028,-72.99612427,10.800276,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,,,,,,,,,,,,,,299,299,L3
86,QN22.26.020.11.05.05,1.159335513,2.850849553,10.25305541,140.351164,51.139961,162.714089,-0.14088806,-0.033210904,-0.950926882,1.050312993,0.000981493,-63.60789453,136.533065,121.4878598,121.4878598,1.123841223,0.095921881,-64.38674164,11.136705,QN22.26.020,M.nemestrina,Macaque,NHP_acute,acute,PKS4_220607_226_A01,M1-trunk,Motor,"DNQX, APV, Gabazine","20, 25, 2",,,,,MCx,0.694940512,L2/3 IT_1,L2/3 IT,PKS4_220607_226_A01,106.4227246,2.26431329,0,0,495.8846106,6377,56.20192046,0.939942157,0.540903752,247,247,L3
87,QN22.26.025.4A.05.01,1.092411519,2.0454999,9.928158052,95.672054,30.852427,104.513254,-0.117592323,0.035854146,-1.130717569,0.947914588,0.001333909,-70.46552234,78.89512634,66.8001709,66.8001709,1.181061744,0.142275319,-69.484375,11.760647,QN22.26.025,M.nemestrina,Macaque,NHP_acute,acute,P7S4_220712_301_A01,M1-trunk,Motor,,,,,,,MCx,0.74409115,L2/3 IT_3,L2/3 IT,P7S4_220712_301_A01,542.216096,3.266362024,0,0,947.244987,6762,56.54987074,1.060041558,0.644803455,261,261,L3
88,QN22.26.033.11.11.01,1.725137559,2.050611082,11.00327898,54.05879,30.478694,93.258849,-0.171442738,-0.062171423,-1.136874962,1.250372611,0.000426448,-58.81438585,77.64243667,59.04395851,59.04395851,1.314993754,0.147751614,-57.99007797,11.328591,QN22.26.033,M.nemestrina,Macaque,NHP_acute,acute,,STG,Temporal,,,,,,,TCx,,,,,,,,,,,,,,498,498,L3
89,QN22.26.033.11.11.02,1.109302329,5.201550062,14.30426267,97.403073,41.803263,108.049456,-0.247491268,-0.027837939,-0.890093332,2.400715413,0.001466459,-54.25667855,94.47937115,68.803314,68.803314,1.373180529,0.241084188,-57.09263611,9.418646,QN22.26.033,M.nemestrina,Macaque,NHP_acute,acute,,STG,Temporal,,,,,,,TCx,,,,,,,,,,,,,,514,514,L3
