"time","instRate","protocol","percent_change","cell_name","predicted_subclass","assigned_subclass","blockers","ket","expCon","response"
-61.17544,5.39665407447383,"baseline",149.060243827816,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.98942,6.19041723412158,"baseline",170.984667458798,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.82686,5.79307148650214,"baseline",160.009634928133,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.6535,5.28317836010144,"baseline",145.925946646736,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.4633,5.44899738448126,"baseline",150.506011231987,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.27882,5.50600154168043,"baseline",152.08051525875,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-60.09618,5.27481801877835,"baseline",145.695026802903,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-59.90564,5.43714658547194,"baseline",150.178681933962,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-59.72086,5.34016874933248,"baseline",147.500070390336,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-59.53266,5.3827107331252,"baseline",148.675116704135,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-59.34596,5.74118727752899,"baseline",158.576548290816,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-59.17074,5.13452454302732,"baseline",141.819999903955,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.9751,5.17866390471258,"baseline",143.039167173973,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.78116,5.21920668058455,"baseline",144.158993639323,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.58876,5.29380624669137,"baseline",146.219498048143,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.39908,5.3972366148532,"baseline",149.076334095932,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.21298,5.65482922415743,"baseline",156.191264314037,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-58.03528,5.30222693531283,"baseline",146.452084736449,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-57.84578,5.17063081695967,"baseline",142.817286356227,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-57.65158,5.3011026293469,"baseline",146.42103043519,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-57.46216,5.07253728314903,"baseline",140.107858279874,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-57.26416,4.89668005092547,"baseline",135.250529729186,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-57.05902,4.79984640491504,"baseline",132.575900841386,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-56.85,5.42122953485851,"baseline",149.739039256718,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-56.66476,5.35389227968733,"baseline",147.879126144631,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-56.47714,5.36480686695279,"baseline",148.180596466171,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-56.29002,5.00250125062531,"baseline",138.173402607775,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-56.08926,5.31914893617021,"baseline",146.919485006884,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-55.90036,5.18564613150799,"baseline",143.23202230499,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-55.70662,4.8780487804878,"baseline",134.735917957533,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-55.5008,5.19210799584631,"baseline",143.410504575775,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-55.30728,4.16666666666667,"baseline",115.086929922059,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-55.06642,5.12295081967213,"baseline",141.500323674663,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-54.87048,4.67770605295163,"baseline",129.202278890889,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-54.65574,4.53021654435082,"baseline",125.12849135315,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-54.43418,4.79570305006714,"baseline",132.46145780402,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-54.2246,4.44483954129256,"baseline",122.770304832849,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-53.99878,4.53350258409647,"baseline",125.219254607373,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-53.77738,4.82299604514324,"baseline",133.215313886825,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-53.56916,4.77281405116457,"baseline",131.829243896975,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-53.3588,4.55539358600583,"baseline",125.823902976013,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-53.13846,4.34555883886668,"baseline",120.028086134601,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-52.90732,4.57917391702537,"baseline",126.480736245509,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-52.6883,4.34103142906755,"baseline",119.903035167973,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
-52.45692,4.66940605155024,"baseline",128.973025687777,"QF25.26.021.20.03.01",NA,"L2/3_IT",TRUE,TRUE,"Ket-wash-in",NA
