sample_name_old,Cortical_area,Prep,patched_cell_container,subclass_Tree_label,subclass_Corr_label,score.Tree_label,score.Corr_label,cluster_Tree_label,cluster_Tree_label,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,projection_type
SM-J39U8_S714_E1-50,TCx,acute,PQS4_201110_303_A01,L5/6 NP,L5/6 NP,0.38,0.6821971450178458,L5/6 NP_7,L5/6 NP_7,5188.0,44.71623430801377,0.9400324324411403,unknown
SM-J39U8_S715_E1-50,TCx,acute,PQS4_201110_304_A01,L5/6 NP,L6 IT,0.17,0.40184178227949824,L5/6 NP_6,L5/6 NP_6,949.0,53.6082273643032,0.5349361953408976,unknown
SM-J39U8_S716_E1-50,TCx,acute,PQS4_201110_305_A01,L6b,L5 IT,0.18,0.3658198660516834,L6b_3,L6b_3,4490.0,12.57877671756454,0.5981692011126648,unknown
SM-J2NSC_S414_E1-50,TCx,acute,PQS4_210112_301_A01,L5 IT,L5 IT,0.28,0.5038895075009047,L5 IT_1,L5 IT_1,2765.0,33.116559683512506,0.6506168088508889,unknown
SM-J2NSC_S416_E1-50,TCx,acute,PQS4_210112_303_A01,L6 CT,L6 CT,0.09,0.3704762624389873,L6 CT_4,L6 CT_4,2946.0,24.02951039446491,0.5379558018677014,unknown
SM-J2NSC_S417_E1-50,TCx,acute,PQS4_210112_304_A01,L6 IT,L6 IT,0.47,0.7348854674745399,L6 IT_3,L6 IT_3,6190.0,48.67727083053001,0.9842969485071594,unknown
SM-J2NSC_S418_E1-50,TCx,acute,PQS4_210112_305_A01,L6 IT,L5 IT,0.64,0.676252617145428,L6 IT_2,L6 IT_2,5923.0,51.98071183319979,0.9868178715220884,unknown
SM-J2NSR_S652_E1-50,TCx,acute,PQS4_210121_301_A01,L6 CT,L5 ET,0.25,0.3877396630995947,L6 CT_4,L6 CT_4,1513.0,32.92612678364166,0.8083347315457934,unknown
SM-J2NRU_S310_E1-50,TCx,acute,P7S4_210209_301_A01,L6 IT,L5 ET,0.2,0.3465483259900656,L6 IT_4,L6 IT_4,1018.0,30.62004989603242,0.4979872655425034,unknown
SM-J2NRU_S311_E1-50,TCx,acute,P7S4_210209_302_A01,L5 ET,L5 ET,0.93,0.44378753849236263,L5 ET_1,L5 ET_1,3936.0,17.00907414305916,0.7703138576005898,unknown
SM-J2NRU_S373_E1-50,TCx,acute,P7S4_210216_303_A01,L5 ET,L5 ET,1.0,0.7517632664772997,L5 ET_1,L5 ET_1,7248.0,46.8958486147403,0.9906557745951641,unknown
