"time","instRate","protocol","percent_change","cell_name","predicted_subclass","Species","blockers","bath","puff","DFP","LIMs_depth","assigned_subclass","expCon","response","keep","Date"
-55.90036,5.18564613150799,"baseline",143.23202230499,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-55.70662,4.8780487804878,"baseline",134.735917957533,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-55.5008,5.19210799584631,"baseline",143.410504575775,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-55.30728,4.16666666666667,"baseline",115.086929922059,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-55.06642,5.12295081967213,"baseline",141.500323674663,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-54.87048,4.67770605295163,"baseline",129.202278890889,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-54.65574,4.53021654435082,"baseline",125.12849135315,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-54.43418,4.79570305006714,"baseline",132.46145780402,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-54.2246,4.44483954129256,"baseline",122.770304832849,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-53.99878,4.53350258409647,"baseline",125.219254607373,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
-53.77738,4.82299604514324,"baseline",133.215313886825,"QF25.26.021.20.03.01",NA,"M.fascicularis","Ptx/KA","Ket","5HT[100uM]",839,NA,"L23_IT","Ket-wash-in",NA,TRUE,2025-10-16
