"",score.Corr,score.Tree,class_Corr,subclass_Corr,cluster_Corr,class_Tree,subclass_Tree,cluster_Tree,cluster,cluster_score,res.index,quality_score,marker_sum_norm,Norm_Marker_Sum.0.4,contaminationType,contam_sum,Tree_call,Tree_first_cor,Tree_first_bt,Tree_second_bt,Tree_first_KL,Tree_second_KL,number_genes_CPMgt0,number_genes_CPMgt1
BT170919-01_E1-50_S25,0.799840101264645,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,L2/3 IT_3,1.00,1,0.604522933143956,0.801041166072161,TRUE,Oligodendrocyte,1.0187863061406,PoorQ,0.799840101264645,0.38,0.29,6.18141795760059,7.18801134081404,10516,9193
BT170919-01_E1-50_S26,0.83552497259399,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,1.00,1,0.612838799703324,0.969482114545513,TRUE,Endothelial,0.800187995897283,PoorQ,0.83552497259399,0.39,0.21,8.03135459251984,8.41401699933323,12197,10856
BT170919-01_E1-50_S27,0.761237284984371,0.41,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,n76,1.00,0.732730683950196,0.581950890605841,0.924391103092607,TRUE,Endothelial,0.776923703795117,Core,0.761237284984371,1,0,0.0389457546444444,3.29679871180566,10240,10240
BT170919-01_E1-50_S29,0.80874417787003,0.94,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,0.94,1,0.551052256369851,0.877326505434807,TRUE,Oligodendrocyte,0.727460856755867,I1,0.80874417787003,0.88,0.06,0.822090319467191,1.6677386477035,12079,10793
BT170919-01_E1-50_S30,0.869676206229556,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,1.00,1,0.547334094934552,1.00883519660068,TRUE,Microglia.PVM,0.940466596486086,PoorQ,0.869676206229556,0.23,0.16,8.5828198047835,9.15259291742041,10604,10604
BT170919-01_E1-50_S32,0.867283097215772,1,Neuronal: Glutamatergic,L5 ET,L5 ET_1,Neuronal: Glutamatergic,L5 ET,L5 ET_1,L5 ET_1,1.00,1,0.630500293094816,0.947223418144599,TRUE,Microglia.PVM,1.47286720368462,Core,0.867283097215772,1,0,0.203083811537056,2.40347647743782,13505,13505
BT170919-01_E1-50_S33,0.832490475881367,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,1.00,1,0.554570893088175,0.886465423483178,TRUE,Endothelial,0.475016298690606,PoorQ,0.832490475881367,0.26,0.23,7.70507659055417,8.61235845371153,10098,8895
BT170919-01_E1-50_S36,0.244954791765253,0.29,Neuronal: Glutamatergic,L6 CT,L6 CT_2,Neuronal: Glutamatergic,L6b,L6b_5,n101,0.73,0.79020979020979,0.0986982891029058,0.506518228100341,TRUE,Microglia.PVM,1.35979900260846,PoorQ,0.244954791765253,0.21,0.19,10.2649171187497,10.3407800271,6700,6700
BT170919-01_E1-50_S37,0.792969983096968,1,Neuronal: Glutamatergic,L4 IT,L4 IT_3,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,1.00,1,0.512889954110849,1.00127114636555,TRUE,Microglia.PVM,0.788371323398529,I1,0.792969983096968,0.63,0.15,1.16549258602312,1.29010864126688,9332,8079
BT170919-01_E1-50_S38,0.802763129456769,0.81,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_12,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_12,L2/3 IT_12,0.81,1,0.554271243473358,1.02659506604886,TRUE,Microglia.PVM,1.11315959098168,I1,0.802763129456769,0.51,0.25,1.30947082445999,1.36546084145165,10646,10646
BT170919-01_E1-50_S40,0.813622747146618,1,Neuronal: Glutamatergic,L4 IT,L4 IT_4,Neuronal: Glutamatergic,L4 IT,L4 IT_4,L4 IT_4,1.00,1,0.620742659647222,0.959340416510799,TRUE,Endothelial,0.322938364063179,Core,0.813622747146618,1,0,0.203083811537056,2.40347647743782,8220,8220
BT170919-01_E1-50_S41,0.333783568176016,0.37,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_1,n73,0.92,0.568309739041446,0.132403699997401,0.395074537083288,FALSE,Microglia.PVM,0.736935196383677,PoorQ,0.333783568176016,0.62,0.18,1.63440868728932,4.32643170380414,4684,4684
BT170919-01_E1-50_S42,0.3226296149724,0.93,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_7,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,0.93,1,0.185191897365374,0.419456689344253,TRUE,Microglia.PVM,0.694325388384507,PoorQ,0.3226296149724,0.97,0.03,0.12482699184124,2.20747930971461,4023,4023
BT170919-01_E1-50_S44,0.468197447875473,0.79,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,0.79,1,0.258387679917837,0.575116543944785,TRUE,Microglia.PVM,0.898020762709704,PoorQ,0.468197447875473,0.29,0.28,7.13901568636801,7.17333797963386,8037,6556
BT170919-01_E1-50_S45,0.81200324991733,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,L2/3 IT_6,1.00,1,0.501778711115382,0.934317954539736,TRUE,Microglia.PVM,1.58765000915863,PoorQ,0.81200324991733,0.27,0.26,6.62548992815989,7.18904972793875,12032,10603
BT170919-01_E1-50_S46,0.830785160691437,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,1.00,1,0.524765884661624,0.894227163913155,TRUE,Microglia.PVM,0.553713598520663,PoorQ,0.830785160691437,0.61,0.08,4.1941549245383,5.58129027244679,9160,9160
BT170919-01_E1-50_S51,0.755057969272274,0.74,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,L2/3 IT_5,0.74,1,0.525016320253845,0.98203406575814,TRUE,Endothelial,1.49594511368927,I2,0.755057969272274,0.43,0.37,1.46072744942146,2.55774726543049,10867,10867
BT170919-01_E1-50_S52,0.774823047245586,0.95,Neuronal: Glutamatergic,L5 IT,L5 IT_6,Neuronal: Glutamatergic,L5 IT,L5 IT_6,L5 IT_6,0.95,1,0.549515678787283,0.937372557683838,TRUE,Microglia.PVM,1.45497425566003,I2,0.774823047245586,0.48,0.44,1.65266126131128,2.08209752843461,11516,10059
BT170919-01_E1-50_S53,0.847202934310107,0.75,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,L2/3 IT_6,0.75,1,0.456678870931732,1.0354421659448,TRUE,Microglia.PVM,1.45732557839979,PoorQ,0.847202934310107,0.31,0.17,4.31383768035908,4.68691180185713,13227,11963
BT170919-01_E1-50_S54,0.357256766336574,0.45,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_12,n73,1.00,0.568309739041446,0.128806787757462,0.458148914398529,TRUE,Microglia.PVM,1.20634223637887,PoorQ,0.357256766336574,1,0,0.203083811537056,2.40347647743782,6892,6892
BT170919-01_E1-50_S55,0.847658754009188,1,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,1.00,1,0.565737768380365,0.939014704152745,TRUE,Endothelial,0.709900873258007,PoorQ,0.847658754009188,0.23,0.2,8.3216670617754,8.63690457522448,10213,8800
BT170919-01_E1-50_S56,0.798226627476743,0.79,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,L2/3 IT_1,0.79,1,0.519027880886826,0.877508701521458,TRUE,Endothelial,0.454086045753303,PoorQ,0.798226627476743,0.17,0.12,10.2335916858638,10.4195150386093,9221,7855
BT170919-01_E1-50_S57,0.321165213212976,0.44,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_7,Neuronal: Glutamatergic,L6b,L6b_2,n70,1.00,0.355961112058673,0.192878899655607,0.340116132438337,FALSE,Microglia.PVM,0.875087178087686,PoorQ,0.321165213212976,0.54,0.3,5.9501940965581,6.85359769692439,5672,5672
BT170919-01_E1-50_S58,0.393076812729893,1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_13,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,1.00,1,0.287798825960882,0.6188499584431,TRUE,Microglia.PVM,0.684829930306657,PoorQ,0.393076812729893,0.27,0.14,8.7630760143193,9.41302665879753,7117,5624
BT170919-01_E1-50_S59,0.747173066996974,0.98,Neuronal: Glutamatergic,L6 CT,L6 CT_2,Neuronal: Glutamatergic,L6 CT,L6 CT_2,L6 CT_2,0.98,1,0.5185766291973,0.903026129578669,TRUE,Astrocyte,0.994842173070263,PoorQ,0.747173066996974,0.72,0.26,3.63783664706447,6.0114522684751,9517,9517
BT170919-01_E1-50_S60,0.398879903322389,0.19,Neuronal: Glutamatergic,L6 CT,L6 CT_3,Neuronal: Glutamatergic,L6 CT,L6 CT_3,n1,1,0,0.310931393572108,0.605291913504083,TRUE,Astrocyte,1.93062947492277,PoorQ,0.398879903322389,0.73,0.11,2.30856394913359,4.27122983238308,9456,9456
BT170919-01_E1-50_S61,0.272041016432051,0.27,Neuronal: Glutamatergic,L6 CT,L6 CT_2,Neuronal: Glutamatergic,L6b,L6b_2,n70,1.00,0.355961112058673,0.191179909615117,0.309270222172474,FALSE,Microglia.PVM,0.384731910116645,PoorQ,0.272041016432051,0.24,0.23,7.64073589345476,7.99184203794363,3318,3318
