"",score.Corr,score.Tree,class_Corr,subclass_Corr,cluster_Corr,class_Tree,subclass_Tree,cluster_Tree,cluster,cluster_score,res.index,quality_score,marker_sum_norm,Norm_Marker_Sum.0.4,contaminationType,contam_sum,Tree_call,Tree_first_cor,Tree_first_bt,Tree_second_bt,Tree_first_KL,Tree_second_KL,number_genes_CPMgt0,number_genes_CPMgt1
SM-GE63V_S149_E1-50,0.259953428032788,0.31,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,n70,0.85,0.355961112058673,0.13634790290184,0.36536317904618,FALSE,Microglia.PVM,1.01810506512401,PoorQ,0.259953428032788,0.38,0.13,6.36925926951027,6.37548880122125,6224,5169
SM-GE63V_S151_E1-50,0.284308194139006,0.44,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: Glutamatergic,L4 IT,L4 IT_1,n83,0.92,0.513559611120587,0.149421098780064,0.162314985290552,FALSE,Microglia.PVM,0.27748179179412,PoorQ,0.284308194139006,0.86,0.11,0.16799875832674,1.46282498215016,3904,3904
SM-GE652_S143_E1-50,0.337440455850879,0.45,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_7,Neuronal: Glutamatergic,L6b,L6b_2,n94,0.77,0.534026948661095,0.28085756700884,0.44288562784234,TRUE,VLMC,0.0927196279894908,PoorQ,0.337440455850879,0.53,0.47,0.396637304176749,0.752425428134311,3304,3304
SM-GE652_S145_E1-50,0.22697941123934,0.74,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L5 ET,L5 ET_2,L5 ET_2,0.74,1,0.201567899442418,0.25673642218668,FALSE,Endothelial,0.0521712710270975,PoorQ,0.22697941123934,0.73,0.21,0.428793590831499,1.51933766276486,3017,3017
SM-GE652_S146_E1-50,0.367967027764449,0.61,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,n78,0.78,0.791744840525328,0.2300467401364,0.405727039367502,TRUE,Microglia.PVM,1.02317784303435,PoorQ,0.367967027764449,0.54,0.45,0.471356743249523,0.883634819316771,6883,6883
SM-GE652_S147_E1-50,0.227458045630499,0.41,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L6b,L6b_2,n98,0.77,0.629029507078288,0.0156791647210686,0.135900803826632,FALSE,Microglia.PVM,1.18474072008803,PoorQ,0.227458045630499,0.41,0.2,7.59333034851803,9.37152511500502,6165,6165
SM-GE652_S156_E1-50,0.822154187258418,0.98,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,0.98,1,0.617724551644799,1.06043846271312,TRUE,Oligodendrocyte,0.388203073069628,PoorQ,0.822154187258418,0.19,0.19,8.32886572921827,8.72327906372342,8511,8511
SM-GE652_S157_E1-50,0.257932009355364,0.32,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: GABAergic,Sst,Sst_25,n2,0.95,0.163397578031725,0.0869725429121086,0.391001391718963,FALSE,Microglia.PVM,1.44955406865514,PoorQ,0.257932009355364,0.53,0.43,0.949128739933652,1.93550564098262,7973,7973
SM-GE652_S158_E1-50,0.803546809842874,0.65,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,n80,0.72,0.873614190687361,0.581269914070168,0.991371502718205,TRUE,Microglia.PVM,0.978397420266354,I2,0.803546809842874,0.52,0.33,1.32808547277788,2.00139337613118,10746,9697
SM-GE652_S160_E1-50,0.676049193024728,0.93,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,L2/3 IT_6,0.93,1,0.375471852669074,0.816193566993219,TRUE,Microglia.PVM,1.26417811632406,PoorQ,0.676049193024728,0.34,0.13,5.17138971356296,6.16902017333815,9880,8898
SM-GE652_S167_E1-50,0.214988794886916,0.89,Neuronal: Glutamatergic,L6 IT Car3,L6 IT Car3_3,Neuronal: GABAergic,Pax6,Pax6_3,Pax6_3,0.89,1,0.0116806867406106,0.184429338694207,FALSE,Microglia.PVM,1.1021349744898,PoorQ,0.214988794886916,0.59,0.14,4.61679007626525,5.41052823695952,6319,6319
SM-GE652_S168_E1-50,0.710008847363813,0.89,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,L2/3 IT_2,0.89,1,0.339025480368882,0.720725949778033,TRUE,Microglia.PVM,1.45972890774841,PoorQ,0.710008847363813,0.28,0.09,7.86054509732795,8.61698861103566,10008,9106
SM-GE652_S174_E1-50,0.781962261635107,0.68,Neuronal: Glutamatergic,L6 IT,L6 IT_1,Neuronal: Glutamatergic,L6 IT,L6 IT_1,n82,0.71,0.792938768548525,0.549668892898,0.962436933505229,TRUE,Microglia.PVM,1.1260839323457,PoorQ,0.781962261635107,0.56,0.24,3.22271881161215,4.11717697335332,10204,10204
SM-GE652_S189_E1-50,0.78976712783342,1,Neuronal: Glutamatergic,L4 IT,L4 IT_1,Neuronal: Glutamatergic,L4 IT,L4 IT_1,L4 IT_1,1.00,1,0.536375677512818,0.799386737467357,TRUE,Endothelial,0.275349692252599,Core,0.78976712783342,0.93,0.07,0.1823307967368,3.71223773138315,7553,7553
SM-GE64T_S106_E1-50,0.175026345008174,0.41,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L5 ET,L5 ET_2,n69,0.76,0.28927170390585,0,0.204312035888984,FALSE,Microglia.PVM,0.475082977662935,PoorQ,0.175026345008174,0.47,0.24,6.57267722639883,8.17515428523945,2988,2988
SM-GE64T_S107_E1-50,0.184362577586983,0.49,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,n72,0.71,0.461026778099949,0.0865113219168362,0.269052688922557,FALSE,Astrocyte,0.955694720782254,PoorQ,0.184362577586983,0.58,0.42,0.705322880344822,1.5356069773797,4286,4286
SM-GE64T_S110_E1-50,0.19739852107475,0.22,Neuronal: GABAergic,Vip,Vip_19,Neuronal: GABAergic,Chandelier,Chandelier_2,n2,0.76,0.163397578031725,0.0551168862234867,0.0920304422638969,FALSE,Microglia.PVM,0.60627606468123,PoorQ,0.19739852107475,0.76,0.24,0.48967555289296,2.6955652998417,2966,2966
SM-GE64T_S122_E1-50,0.238911401233566,0.48,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: GABAergic,Pvalb,Pvalb_9,n37,0.92,0.340781170049463,0.146062227682556,0.163021398892419,FALSE,Microglia.PVM,0.56948632558971,PoorQ,0.238911401233566,0.79,0.19,0.329711370245363,2.26655197063927,2641,2641
SM-GE64V_S101_E1-50,0.33360828117645,0.99,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,L5/6 NP_2,0.99,1,0.23940869639387,0.383109323048753,FALSE,Astrocyte,0.0913497958895682,PoorQ,0.33360828117645,0.99,0.01,0.100692838499094,3.12587037803223,4575,4575
SM-GE64F_S160_E1-50,0.109040331299418,0.25,Neuronal: GABAergic,Sncg,Sncg_6,Neuronal: GABAergic,Pax6,Pax6_3,n1,1,0,0,0.0655433046199374,FALSE,Microglia.PVM,1.48090324434615,PoorQ,0.109040331299418,1,0,0.0642151529587141,3.45139840686714,5855,5855
SM-GE64F_S161_E1-50,0.223186725634609,0.36,Neuronal: GABAergic,Sncg,Sncg_2,Neuronal: GABAergic,Sst Chodl,Sst Chodl_1,n1,1,0,0.165891789729171,0.341831159391711,FALSE,Microglia.PVM,0.786022345352357,PoorQ,0.223186725634609,0.64,0.29,0.386875963145174,1.92929427334917,3846,3846
SM-GE64F_S171_E1-50,0.257022255214637,0.87,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L6b,L6b_2,L6b_2,0.87,1,0.105757729646204,0.222768495748343,FALSE,Microglia.PVM,0.706766559920824,PoorQ,0.257022255214637,0.31,0.2,5.94063254455334,7.97482438156508,4313,3251
SM-GE64F_S172_E1-50,0.221245280222152,0.4,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: GABAergic,Sncg,Sncg_2,n2,0.92,0.163397578031725,0.126336885420008,0.243514630860455,FALSE,Microglia.PVM,0.811449053690633,PoorQ,0.221245280222152,0.45,0.31,0.551725157301314,0.676236228860874,5565,5565
SM-GE64F_S178_E1-50,0.703786564068717,0.99,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,0.99,1,0.415354808750462,0.838291039412749,TRUE,Endothelial,0.46612212264201,I1,0.703786564068717,0.56,0.16,1.52439635444846,1.8988675681719,7115,7115
SM-GE65Y_S129_E1-50,0.75914358924026,0.52,Neuronal: Glutamatergic,L4 IT,L4 IT_1,Neuronal: Glutamatergic,L4 IT,L4 IT_1,n89,1.00,0.651884700665188,0.551375549496413,0.979939154466601,TRUE,VLMC,0.476166461588138,PoorQ,0.75914358924026,0.28,0.21,7.69256805858583,7.77582818788861,9331,9331
SM-GE65Y_S130_E1-50,0.718527519557503,0.51,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,Neuronal: Glutamatergic,L4 IT,L4 IT_3,n83,1.00,0.513559611120587,0.469534272142875,0.86536401088836,TRUE,Microglia.PVM,0.684503040076501,I2,0.718527519557503,0.58,0.39,0.801221183691144,0.86855902717496,8692,8692
SM-GE65O_S071_E1-50,0.482647956878139,0.55,Neuronal: Glutamatergic,L4 IT,L4 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,n72,1.00,0.461026778099949,0.388863338545032,0.718388725631987,TRUE,Astrocyte,0.442557722646987,PoorQ,0.482647956878139,1,0,0.254628561034237,4.19965466665793,7540,6478
SM-GE65O_S074_E1-50,0.14210729497565,0.32,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: GABAergic,Pax6,Pax6_4,n1,1,0,0.040852902550118,0.1197176877237,FALSE,Microglia.PVM,0.699954060510881,PoorQ,0.14210729497565,0.37,0.17,6.67794837246713,7.95109647432399,4186,3125
SM-GE65O_S077_E1-50,0.201570732099584,0.77,Neuronal: Glutamatergic,L6 CT,L6 CT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_3,L5 IT_3,0.77,1,0.0780147458816493,0.216931601549593,FALSE,Microglia.PVM,1.19388840005307,PoorQ,0.201570732099584,0.42,0.21,3.06687720523555,5.66910197535157,4662,4662
SM-GE65O_S078_E1-50,0.706268019307033,0.68,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,n90,0.76,0.754562510660072,0.511847466355123,1.03693607058103,TRUE,Microglia.PVM,2.64204896775167,PoorQ,0.706268019307033,0.65,0.17,3.9752139399926,4.24679175544359,14183,12517
SM-GE65O_S079_E1-50,0.394719340262066,0.68,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n91,0.71,0.839501961453181,0.248817775977347,0.827404235028964,TRUE,Microglia.PVM,3.42545245466405,PoorQ,0.394719340262066,1,0,0.371050686792302,2.38702376358801,11983,11983
SM-GE65O_S080_E1-50,0.323910413334352,0.49,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,n75,0.72,0.632611291147877,0.365545594308528,0.494529737396497,TRUE,Endothelial,0.117429038518261,PoorQ,0.323910413334352,0.56,0.2,5.80105039026163,7.6652958387327,4969,3601
SM-GE65O_S081_E1-50,0.796464235859243,0.67,Neuronal: Glutamatergic,L5 IT,L5 IT_6,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n91,1.00,0.839501961453181,0.453562368609805,0.938619082676964,TRUE,Microglia.PVM,1.33925145042255,PoorQ,0.796464235859243,0.49,0.26,6.78465565669824,8.95391655651141,11290,10218
SM-GE65O_S082_E1-50,0.279796736664853,0.34,Neuronal: Glutamatergic,L5 ET,L5 ET_2,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,n68,0.70,0.241514582977998,0.182246315920763,0.359355933798907,FALSE,Microglia.PVM,0.416761293396889,PoorQ,0.279796736664853,0.86,0.08,1.35995209211946,3.05596980325954,4776,3832
SM-GE65O_S083_E1-50,0.33367149530964,0.31,Neuronal: Glutamatergic,L5 IT,L5 IT_6,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n70,0.76,0.355961112058673,0.186135977436327,0.609176267973789,TRUE,Microglia.PVM,1.83510938534534,PoorQ,0.33367149530964,0.72,0.11,3.56359107696705,6.17160479186187,7320,7320
SM-GE65O_S084_E1-50,0.83094253063931,0.66,Neuronal: Glutamatergic,L5 IT,L5 IT_5,Neuronal: Glutamatergic,L5 IT,L5 IT_6,n92,0.97,0.922394678492239,0.538328643623256,0.974463956277292,TRUE,Microglia.PVM,1.07182484442555,PoorQ,0.83094253063931,0.36,0.26,5.71385945279743,7.21725820995144,11214,9901
SM-GE65O_S086_E1-50,0.730881654504852,0.61,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n89,1.00,0.651884700665188,0.583775221459971,0.85224321047714,TRUE,Microglia.PVM,0.267878985158295,I1,0.730881654504852,0.62,0.26,1.03188826820453,1.42744676101506,10131,8521
SM-GE65O_S087_E1-50,0.345783437098001,0.4,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,n83,0.98,0.513559611120587,0.202146399122219,0.541128728724594,TRUE,Microglia.PVM,0.618430320980981,PoorQ,0.345783437098001,0.89,0.06,0.0680369317582737,2.54438209357445,6678,5539
SM-GE65O_S089_E1-50,0.834138066552661,0.94,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_13,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_13,L2/3 IT_13,0.94,1,0.577032030297107,0.990469300440555,TRUE,Endothelial,0.612825007704538,I1,0.834138066552661,0.81,0.19,0.591066792116193,1.71905467023094,9673,8454
SM-GE65O_S090_E1-50,0.389857730951484,1,Neuronal: Glutamatergic,L4 IT,L4 IT_4,Neuronal: Glutamatergic,L4 IT,L4 IT_4,L4 IT_4,1.00,1,0.395528906954216,0.553259979072259,TRUE,Endothelial,0.0328203419407554,PoorQ,0.389857730951484,0.59,0.15,5.39020444102593,7.9772487697217,5589,4485
SM-GE65O_S092_E1-50,0.212101515614115,0.21,Neuronal: GABAergic,Pax6,Pax6_4,Neuronal: Glutamatergic,L4 IT,L4 IT_2,n1,1,0,0.155099361796677,0.203028486227517,FALSE,Microglia.PVM,0.516509626486854,PoorQ,0.212101515614115,0.21,0.16,7.89822415497277,8.19219851876782,4607,3298
SM-GE65O_S093_E1-50,0.226717237847536,0.16,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,n1,1,0,0.229969503134501,0.299577795725179,FALSE,Microglia.PVM,0.95487197822801,PoorQ,0.226717237847536,0.19,0.14,9.53085166568378,9.54129174140068,6919,5892
SM-GE65O_S094_E1-50,0.29766182351635,0.24,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: GABAergic,Pax6,Pax6_4,n3,0.79,0.295753027460345,0.116426645958008,0.308893893078264,FALSE,Oligodendrocyte,0.231028196662617,PoorQ,0.29766182351635,0.31,0.21,5.24136449015211,6.10776578768245,4423,2731
SM-GE65O_S096_E1-50,0.261440027957984,0.89,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L6b,L6b_2,L6b_2,0.89,1,0.329309240691665,0.411160945503216,TRUE,Astrocyte,0.0634274597097616,PoorQ,0.261440027957984,0.23,0.2,8.36568818707525,8.40009132431033,4400,4400
SM-GE65R_S003_E1-50,0.738912153475115,0.97,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_2,L5 IT_2,0.97,1,0.40911109623916,0.86504527518095,TRUE,Microglia.PVM,1.49185242934591,PoorQ,0.738912153475115,0.16,0.11,6.79038265104655,7.3396400276953,9300,9300
SM-GE65R_S004_E1-50,0.0832003950299038,0.51,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: GABAergic,Vip,Vip_16,n10,0.86,0.370288248337029,0.0522865165859713,0.149679933345983,FALSE,Microglia.PVM,1.09060465385967,PoorQ,0.0832003950299038,0.46,0.2,6.49413816594143,7.05502110848664,6136,6136
SM-GE65R_S009_E1-50,0.24281156188647,0.21,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L6b,L6b_3,n1,1,0,0.104505785903949,0.153520181717007,FALSE,Microglia.PVM,0.882066985357838,PoorQ,0.24281156188647,0.63,0.19,0.263047332455071,0.91176151438461,6431,5675
SM-GE65R_S011_E1-50,0.157045392504733,0.27,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: GABAergic,Pax6,Pax6_3,n2,0.73,0.163397578031725,0.0876673130939858,0.234072847682047,FALSE,Microglia.PVM,0.816962151206825,PoorQ,0.157045392504733,0.21,0.11,9.72491936457919,10.7548414452148,3520,3520
SM-GE65R_S012_E1-50,0.179881434707098,0.71,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,L6 IT_2,0.71,1,0.137058557252617,0.18157432356626,FALSE,Astrocyte,0.186122541946125,PoorQ,0.179881434707098,0.51,0.23,3.11218376700344,3.21946251643094,2984,2984
SM-GE65R_S016_E1-50,0.495503060942744,0.48,Neuronal: Glutamatergic,L4 IT,L4 IT_1,Neuronal: Glutamatergic,L5 IT,L5 IT_5,n92,0.95,0.922394678492239,0.432853631707434,0.637892350176147,TRUE,Endothelial,0.244899029086943,PoorQ,0.495503060942744,0.66,0.34,0.414765915010269,0.804669147516351,7923,6700
SM-GE65R_S017_E1-50,0.483249063777659,0.67,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,n73,1.00,0.568309739041446,0.349670368326332,0.521342068975827,TRUE,Microglia.PVM,0.261084390743424,PoorQ,0.483249063777659,0.92,0.07,0.266029040688394,2.1293515088867,6866,5617
SM-GE65R_S018_E1-50,0.69003245666227,0.65,Neuronal: Glutamatergic,L5 IT,L5 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_1,n83,0.97,0.513559611120587,0.425229444338007,0.754992904064864,TRUE,Astrocyte,0.441559995520265,I2,0.69003245666227,0.54,0.41,1.20188876112886,1.93792580822659,7686,6324
SM-GE65R_S021_E1-50,0.252642535173361,0.47,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,Neuronal: Glutamatergic,L5 IT,L5 IT_3,n87,0.92,0.754562510660072,0.24817420113892,0.302130380161303,FALSE,VLMC,0,PoorQ,0.252642535173361,0.71,0.28,0.464566442907128,2.06300788996152,2669,2669
SM-GE65R_S037_E1-50,0.28758737542955,0.36,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,n83,0.73,0.513559611120587,0.204103102523728,0.288574379947914,FALSE,Astrocyte,0.283583846957289,PoorQ,0.28758737542955,0.61,0.39,0.923724186772943,1.25863643546476,4370,4370
SM-GE65R_S038_E1-50,0.345063070206123,0.5,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_3,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,n71,0.79,0.406617772471431,0.336279435718863,0.483286126958879,TRUE,Endothelial,0.303948531026771,PoorQ,0.345063070206123,1,0,0.13272630233433,1.43504352055964,5249,5249
SM-GE65R_S039_E1-50,0.318247007364114,0.35,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,Neuronal: Glutamatergic,L4 IT,L4 IT_3,n71,1.00,0.406617772471431,0.174018654450943,0.335358256432874,FALSE,Microglia.PVM,0.523458652192417,PoorQ,0.318247007364114,1,0,0.164275929984436,6.31989349246826,5006,5006
SM-GE65R_S040_E1-50,0.183855240641444,0.21,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_6,Neuronal: GABAergic,Sst,Sst_22,n1,1,0,0.0654009702914465,0.139287581233433,FALSE,Microglia.PVM,0.48405180454478,PoorQ,0.183855240641444,0.27,0.23,2.72156445232465,4.53932417323395,2821,2821
SM-GE65D_S164_E1-50,0.744344383695623,0.77,Neuronal: Glutamatergic,L4 IT,L4 IT_2,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,0.77,1,0.583871693041249,0.945484565151087,TRUE,Oligodendrocyte,0.360918582603965,Core,0.744344383695623,0.9,0.06,0.560263496186536,1.89469039119564,9666,9666
SM-GE65D_S165_E1-50,0.737321255377446,1,Neuronal: Glutamatergic,L4 IT,L4 IT_2,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,1.00,1,0.521331387522322,0.853133570922983,TRUE,Microglia.PVM,0.694008423800272,I1,0.737321255377446,0.76,0.19,0.682658404086617,1.34925381384128,8270,8270
SM-GE65D_S166_E1-50,0.842968469109135,0.55,Neuronal: Glutamatergic,L5 IT,L5 IT_6,Neuronal: Glutamatergic,L5 IT,L5 IT_6,n92,0.95,0.922394678492239,0.591445641816535,0.994424971757918,TRUE,Endothelial,0.147054082352456,I1,0.842968469109135,0.51,0.21,0.4388669431819,0.921702244235141,9271,9271
SM-GE65D_S167_E1-50,0.300726597413668,0.31,Neuronal: Glutamatergic,L5 IT,L5 IT_7,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,n75,0.78,0.632611291147877,0.193388355053807,0.181860799919958,FALSE,Endothelial,0,PoorQ,0.300726597413668,0.79,0.2,0.616289202954552,2.0934924895611,1976,1976
SM-GE65D_S183_E1-50,0.250775661901586,0.27,Neuronal: Glutamatergic,L6 CT,L6 CT_3,Neuronal: Glutamatergic,L6b,L6b_2,n70,1.00,0.355961112058673,0.156306081028996,0.396737052317188,FALSE,Microglia.PVM,0.122176835664376,PoorQ,0.250775661901586,0.63,0.18,2.83886435319724,4.06512538184369,2776,2776
SM-GE65D_S184_E1-50,0.734463666812887,1,Neuronal: Glutamatergic,L4 IT,L4 IT_2,Neuronal: Glutamatergic,L4 IT,L4 IT_2,L4 IT_2,1.00,1,0.560627638352264,0.793971514860294,TRUE,Astrocyte,0.563321042672365,Core,0.734463666812887,1,0,0.0041072215538108,4.43116731164526,7924,7924
SM-GE65D_S185_E1-50,0.790931951719634,1,Neuronal: Glutamatergic,L6 IT Car3,L6 IT Car3_1,Neuronal: Glutamatergic,L6 IT Car3,L6 IT Car3_1,L6 IT Car3_1,1.00,1,0.538217500241857,0.747798539517927,TRUE,Endothelial,0.617490050371299,PoorQ,0.790931951719634,0.39,0.23,4.66966595326344,6.56506275619379,9316,9316
SM-GE65D_S186_E1-50,0.714421113266962,0.87,Neuronal: Glutamatergic,L4 IT,L4 IT_4,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,0.87,1,0.546631366795548,0.897967207803981,TRUE,Endothelial,0.396576688962988,I1,0.714421113266962,0.79,0.21,0.661106934780124,2.11283845957274,8190,8190
SM-GE65H_S024_E1-50,0.36757875998105,0.33,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,n1,1,0,0.270449462160634,0.295788845218151,FALSE,Endothelial,0.192725697147096,PoorQ,0.36757875998105,1,0,0.0827231087702928,3.70496221718582,3531,3531
SM-GE65H_S027_E1-50,0.300460711075706,0.94,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_2,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_1,L5/6 NP_1,0.94,1,0.253695824134822,0.367590924778431,FALSE,Endothelial,0.0292282721255844,PoorQ,0.300460711075706,0.27,0.17,6.85429183389787,7.68982174073286,3411,3411
SM-GE65H_S029_E1-50,0.313384993017828,0.24,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n70,0.95,0.355961112058673,0.182892135582934,0.407777045394156,TRUE,Microglia.PVM,1.69619610153167,PoorQ,0.313384993017828,0.85,0.12,0.134913294527829,1.56743148247093,7319,7319
SM-GE65H_S030_E1-50,0.259414675122448,0.35,Neuronal: Glutamatergic,L6 CT,L6 CT_1,Neuronal: Glutamatergic,L5 IT,L5 IT_7,n70,0.90,0.355961112058673,0.1606995420915,0.591306538066225,TRUE,Microglia.PVM,2.95869795568706,PoorQ,0.259414675122448,0.46,0.27,2.12711756992742,4.01778424585791,10937,10937
SM-GE65H_S036_E1-50,0.168515186144992,0.75,Neuronal: GABAergic,Pvalb,Pvalb_14,Neuronal: GABAergic,Pvalb,Pvalb_14,Pvalb_14,0.75,1,0.093573979244102,0.0346805296870717,FALSE,Microglia.PVM,0.103816261347202,PoorQ,0.168515186144992,0.71,0.14,2.875344038646,2.9871632880715,2000,2000
SM-GE65H_S037_E1-50,0.131242501488166,0.86,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L4 IT,L4 IT_3,L4 IT_3,0.86,1,0.0133408137359192,0.0816416962016536,FALSE,Microglia.PVM,0.380152500626272,PoorQ,0.131242501488166,0.28,0.24,5.72871641332771,6.17967752708191,2529,2529
SM-GE65H_S038_E1-50,0.290665540366542,0.38,Neuronal: Glutamatergic,L6 IT,L6 IT_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,n72,1.00,0.461026778099949,0.287336134152423,0.366811328978864,FALSE,Microglia.PVM,0.294836198100811,PoorQ,0.290665540366542,0.14,0.12,10.2264142928134,10.3635220369505,3132,3132
SM-GE65H_S039_E1-50,0.103998108686588,0.28,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_5,Neuronal: Glutamatergic,L6b,L6b_2,n70,0.76,0.355961112058673,0.0878557498791821,0.0306837814101309,FALSE,Microglia.PVM,0.235187021178876,PoorQ,0.103998108686588,1,0,0.122158945347833,3.0512037995243,2258,2258
SM-GE65H_S046_E1-50,0.112585727528674,0.28,Neuronal: GABAergic,Vip,Vip_23,Neuronal: GABAergic,Sst,Sst_3,n37,0.71,0.340781170049463,0,0.0349777732569112,FALSE,Microglia.PVM,0.280232233422311,PoorQ,0.112585727528674,0.52,0.3,3.06610058800767,4.08313622311513,1457,1457
SM-GE65H_S047_E1-50,0.176029179567159,0.19,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_2,Neuronal: Glutamatergic,L6 CT,L6 CT_2,n70,0.97,0.355961112058673,0.0826028368126874,0.197227730907488,FALSE,Microglia.PVM,0.50208239111774,PoorQ,0.176029179567159,0.63,0.21,0.670379675059472,1.05942149610697,2867,2867
SM-GE8ZP_S162_E1-50,0.751588855209529,1,Neuronal: Glutamatergic,L4 IT,L4 IT_4,Neuronal: Glutamatergic,L4 IT,L4 IT_4,L4 IT_4,1.00,1,0.410349296004041,0.812081398324969,TRUE,Endothelial,0.999354740729324,I1,0.751588855209529,0.63,0.2,0.178070837309819,0.732537478389861,9155,8097
SM-GE8ZP_S164_E1-50,0.265858788725196,0.57,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L6 IT,L6 IT_2,n72,0.80,0.461026778099949,0.111207447454556,0.160006778633496,FALSE,Endothelial,0.184233011802063,PoorQ,0.265858788725196,0.35,0.29,1.88354992867145,1.89203299333122,3022,3022
